Wojewodztwo,Mazowieckie,Pomorskie,Slaskie,Malopolskie,Wielkopolskie,Lubelskie,Podkarpackie,Podlaskie,Warminsko-Mazurskie,Zachodniopomorskie,Kujawsko-Pomorskie,Lodzkie,Opolskie,Dolnoslaskie,Swietokrzyskie,Lubuskie
Mazowieckie,0,367,320,295,315,150,330,195,210,480,230,130,290,360,180,420
Pomorskie,367,0,530,520,320,470,550,370,170,370,160,440,530,550,420,500
Slaskie,320,530,0,95,290,400,290,400,420,550,380,190,80,220,200,320
Malopolskie,295,520,95,0,330,320,160,390,430,590,400,230,180,250,170,380
Wielkopolskie,315,320,290,330,0,430,470,410,280,230,130,220,310,330,380,150
Lubelskie,150,470,400,320,430,0,160,280,410,610,370,250,390,460,180,490
Podkarpackie,330,550,290,160,470,160,0,430,530,680,470,340,320,430,270,550
Podlaskie,195,370,400,390,410,280,430,0,220,590,370,250,440,470,270,580
Warminsko-Mazurskie,210,170,420,430,280,410,530,220,0,460,250,310,470,500,360,570
Zachodniopomorskie,480,370,550,590,230,610,680,590,460,0,210,470,550,430,590,130
Kujawsko-Pomorskie,230,160,380,400,130,370,470,370,250,210,0,310,390,410,340,350
Lodzkie,130,440,190,230,220,250,340,250,310,470,310,0,180,240,120,300
Opolskie,290,530,80,180,310,390,320,440,470,550,390,180,0,160,250,310
Dolnoslaskie,360,550,220,250,330,460,430,470,500,430,410,240,160,0,340,220
Swietokrzyskie,180,420,200,170,380,180,270,270,360,590,340,120,250,340,0,460
Lubuskie,420,500,320,380,150,490,550,580,570,130,350,300,310,220,460,0
